index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,entropy-mean-train-auc,entropy-std-train-auc,entropy-mean-validation-auc,entropy-std-validation-auc
09cfedf83fe,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3577607596921501,0.3726009386017348,0.505869194045828,0.5003275131820113
0bb476d621b,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4901495597104465,0.5122850871293256,0.49745774103470913,0.5018848197984539
0f593893c84,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.27837985350226113,0.2921297919401893,0.4997887469535944,0.49837014609893837
0f7dffc2e1a,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.40570014680865124,0.6049047199608654,0.50292314820956,0.5007783857079091
0f81495acb9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.32881648353154636,0.3909740592321427,0.5023348411233587,0.5031191324381561
13b9d01a1c4,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.48877167810328537,0.5145796626057185,0.5003431228002184,0.49954226826610176
1b35179c761,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3694992517839273,0.4225605408746149,0.5042156729171609,0.4989671515952856
209dbecb542,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3709366862605509,0.517873290447406,0.5008096849444166,0.5005583486512579
30c4c3aed23,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.44896229646962255,0.5663107933449094,0.5039264381797975,0.49460161370332223
31b3141d951,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4195343845449061,0.6289811912436616,0.49915686781657065,0.5018419565484581
330cee47da1,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.30259041934146513,0.3769685548961224,0.4993520352442139,0.49978338774734354
394a2b26a4a,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.287224016618093,0.3373169854465318,0.5004452837193789,0.5027121255634233
3f2546262e3,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.48934854357614127,0.5219070535523872,0.5010029035697867,0.5002547274971142
4405a17bdc9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4079227382010818,0.533209669935759,0.5027343871893892,0.49984893502379774
47298350fc9,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.34099900014123374,0.5645249224618696,0.5033387294942941,0.5012078038087824
49e790887b8,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.34403642448408556,0.3640337670089859,0.5065022251841954,0.5023689459631385
49f7fe1e317,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4993712528666293,0.4975520651447288,0.5030532683613322,0.5004532509286719
4c8cf81cc01,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.43290873534474883,0.6144042510411185,0.5014451056855712,0.5030670523774099
51cc8650b8b,cifar10,xception,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5010247995953263,0.4983531780791468,0.49994881594029894,0.49983210940417244
58d76fcb07e,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2786631146326569,0.28087209560921234,0.49867478005426347,0.5021827825459976
5dd6c6ac9b0,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.28866255029599863,0.3430475393306499,0.5003349843907259,0.5037142323322805
6960a05ce66,cifar10,xception,drp=0,sgd,lr=0.01,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.36561417845237776,0.4689358285667504,0.5017324364207139,0.5038440452836945
69d24355d7a,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.25823189480168207,0.3570957061164316,0.4983801245105772,0.49670715055922043
6b06de2116c,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.35352168194768985,0.5090095297087155,0.5017889732866585,0.4989954316282715
72b975cf810,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3376456634299019,0.5898320111800579,0.49981456778371186,0.4961265034819537
72f3c99d312,cifar10,xception,drp=0.3,adam,lr=0.0001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.33967195299336594,0.3606883295068676,0.501907819825281,0.5024647812749209
768fa417f5b,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4989500923753878,0.4973095072618093,0.5004733621521296,0.5004598821364066
7f6e93936ca,cifar10,xception,drp=0,sgd,lr=0.01,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4357178746213289,0.6287995494317944,0.5023735291684844,0.49927959195971605
7fc4efa3a08,cifar10,xception,drp=0.3,sgd,lr=0.01,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.44128111551029314,0.6179595815880559,0.5030218771247175,0.49767740929093024
80f624bf154,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4099869302087554,0.6071396281676623,0.5006977456138505,0.5018484605560444
82eee5393de,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4086527862526099,0.6065808163158641,0.5036795506918279,0.49932215360935994
860e2edde04,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.27885091405170614,0.28934430869120165,0.4991445190021669,0.5003206795740406
86ae3f2547f,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4205202120947754,0.44662336094148825,0.5045555645136105,0.5024586548677751
8abec5251d7,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3080767593407321,0.3379050261324225,0.5031355108572598,0.499462072172561
8dc80e6a54d,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.47044370712554007,0.5633739499193752,0.5028620025382398,0.5001039329212273
94e7b0c5624,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.35640282050824984,0.3706596451374101,0.498101211385253,0.5012956183112092
98545a3eddd,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.43119547094639726,0.4651423201420022,0.5002745947202873,0.5002951515442647
9b45938efb1,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2915705696879125,0.3008520517138331,0.4996408947811397,0.4982715763839667
9bf756402e8,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.36177379797295794,0.5165697481269542,0.5002291818673177,0.5027072887577816
9e6d3b1fb78,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.27452069140093444,0.36418401198423156,0.502837035309118,0.5045852925482852
9fed2f4fc52,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.28223591559997196,0.36843860094678416,0.500210255445242,0.5022826050624305
a3bc9886e61,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.481696092250322,0.5423008701397349,0.5035950721932922,0.4963467869388922
a5c43edf406,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3369155545783029,0.39290769668753744,0.5017911372891825,0.5005789134752446
b502cb8cd8f,cifar10,xception,drp=0.3,sgd,lr=0.1,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4847037973585092,0.5179237089062141,0.5031877549181973,0.49669139534084356
b7d04f7ebd9,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.44540112671587423,0.5959120886718602,0.5005976710971236,0.5013745200032401
b9205aadac9,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4963381685288397,0.4991997158665486,0.5004666221442681,0.5030666395769284
b9e15ac475b,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.40833269147925133,0.5304336922978586,0.5044853636317281,0.5005156510014553
b9e4df7cd8b,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3428386878870455,0.6212533294298834,0.5010865804673874,0.5000224056261339
bb52135281d,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3515344844298226,0.591481285103771,0.5003939676595238,0.5011435989338938
cc983bf84ee,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4486465049012833,0.5515851601689308,0.4977792222096848,0.5027427847991842
cd491137749,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.31637538662025094,0.34716160812929975,0.5005565774491919,0.5013909272223774
ce39065ff55,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3383705610754224,0.43367145143438096,0.4973185584723666,0.5049471761703863
cebb8d03f83,cifar10,xception,drp=0.3,sgd,lr=0.01,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.39966754537222493,0.5255594818125796,0.5027644760244848,0.49687444515435286
d14e09a111c,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.32310371446817254,0.4122924152978732,0.49988082146099017,0.5025277813484041
da84b5aa663,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.47903242114341593,0.5369101446519927,0.502299621882279,0.5004236988942024
deafd6521ef,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.340537410002835,0.48540599017754693,0.5004626645396519,0.5006538847626912
e08b74f09e8,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.34712209928321663,0.5648204620065868,0.5024066500071166,0.4992521439277007
e6cadb4690a,cifar10,xception,drp=0,sgd,lr=0.1,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5003165211691902,0.5000936577092424,0.49973605809213817,0.5032366701752521
ed191310db9,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4987386769287928,0.501221074224261,0.5014581937008371,0.4996075083421977
ef9febd3d70,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4998581878345903,0.49983507020762596,0.5022630786396549,0.4984372829772469
f03895595a1,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4941000707183225,0.5079763109035691,0.5037133347312336,0.4970143061174867
fa74b30e7e5,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3610704043525197,0.5463294388386574,0.498603503971127,0.49966449800867047
fad82ed61e9,cifar10,xception,drp=0,sgd,lr=0.1,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.49929974238321956,0.4993220192092032,0.4969399540307624,0.4964732398863869
fb010de93b0,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4405107482117367,0.4798214236637085,0.5012863359003822,0.49966599721041915
