index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,np,ns,folds,epochs,done,valid,train_loss,validation_loss,top_proba-mean-train-auc,top_proba-mean-validation-auc,top_proba-std-train-auc,top_proba-std-validation-auc
792e94c606,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.0,3,15,True,True,0.567 0.565 0.583,0.66 0.647 0.66,0.7001530820522555,0.6265737145376058,0.46308129690325983,0.4588065743197666
79801df55d,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.779 0.477 0.809,0.76 0.581 0.855,0.5983332010963074,0.5435234469168624,0.47910067192842215,0.4850943309277712
7b3804aca9,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.302 0.315 0.306,0.337 0.338 0.349,,,,
7d96e99053,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.0,3,15,True,True,0.692 0.709 0.698,0.825 0.826 0.812,0.742895138526634,0.65862507825555,0.479540388988601,0.4440548604843677
7edc07a9f8,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.689 0.833 0.685,0.74 0.844 0.748,0.7111578331105988,0.6603282292145902,0.5330508498788757,0.47545610572999714
827315ce4b,cifar10,resnet34,drp=0,sgd,lr=0.1,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.879 0.775 0.779,0.922 0.831 0.873,,,,
85d9c1144e,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.131 0.147 0.124,0.489 0.523 0.454,,,,
87245f6ca1,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.267 0.281 0.26,0.404 0.366 0.365,,,,
8820110175,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.603 0.593 0.598,0.625 0.616 0.614,,,,
88aa73590f,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.604 0.596 0.86,0.675 0.658 0.924,0.6925537547329489,0.6316686045225715,0.47410295077398207,0.463791382525908
88bd086b8f,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.045 0.06 0.058,0.363 0.441 0.378,,,,
88d0fba512,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.453 0.46 0.463,0.478 0.48 0.496,,,,
88f2f7e1f2,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.13,ns=0.0,3,15,True,True,1.125 0.96 0.972,1.193 0.98 0.984,0.6966568823141948,0.6583704359997407,0.5487955021379365,0.4918803490920146
8ba8b9ac11,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.454 0.466 0.497,0.498 0.497 0.529,0.5876138767610751,0.548608223912637,0.47735512914135925,0.48010379124747077
90b5963a7a,cifar10,resnet18,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.706 0.699 0.684,0.803 0.762 0.79,,,,
943c3445b7,cifar10,resnet34,drp=0,sgd,lr=0.1,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,1.044 1.035 1.065,1.037 1.005 1.18,,,,
94e40d3557,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.257 0.265 0.262,0.339 0.342 0.371,,,,
95da3128c6,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,0.769 0.782 0.786,0.854 0.867 0.861,0.7260833404067197,0.654795160035367,0.5039416304155615,0.44550781255526084
9888c29598,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.13,ns=0.0,3,15,True,True,0.803 0.828 0.797,0.841 0.86 0.837,0.7064342228876754,0.6689565536323837,0.49055384100852656,0.4785914076114666
999182cf41,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.417 0.425 0.426,0.501 0.504 0.501,0.6316810447806835,0.5479151007410274,0.4544124302863809,0.48688158162424733
999f89ae27,cifar10,resnet34,drp=0,adam,lr=0.0001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.113 0.103 0.103,0.682 0.694 0.663,,,,
9aa62dafbe,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.593 0.601 0.606,0.681 0.683 0.68,0.7011936565301279,0.630789838501536,0.46587122101057404,0.4467873280278294
a326360664,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.613 0.569 0.585,0.645 0.589 0.588,,,,
a6392d71f6,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.54 0.523 0.53,0.556 0.548 0.544,,,,
a7a936cbca,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.307 0.383 0.312,0.371 0.417 0.356,,,,
a8db092130,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.644 0.65 0.649,0.747 0.75 0.742,0.7275046318051838,0.6513059656233886,0.5154381222008031,0.44465323584810384
a92ba05a3b,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.434 0.442 0.444,0.529 0.534 0.532,0.6435426314684991,0.552160968599205,0.46195164349695594,0.4717015784353561
ab02c546ff,cifar10,resnet18,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,1.123 1.153 1.112,1.15 1.13 1.13,,,,
ab89cb4d51,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.853 0.847 0.855,0.845 0.849 0.87,,,,
abab9ec838,cifar10,resnet18,drp=0.3,sgd,lr=0.1,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.865 0.898 0.862,0.891 0.967 0.932,,,,
aca784d1e0,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,0.752 0.752 0.748,0.84 0.838 0.83,0.7276226118479222,0.6600647904509283,0.4911385287356322,0.44773567285587973
ad5d103cd3,cifar10,resnet18,drp=0.3,sgd,lr=0.01,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.181 0.182 0.186,0.51 0.485 0.502,,,,
ae8c7beab8,cifar10,resnet34,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.825 0.785 0.787,0.886 0.832 0.855,,,,
af6c6d2315,cifar10,resnet34,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.123 0.132 0.124,0.462 0.524 0.462,,,,
afe6e11618,cifar10,resnet34,drp=0,adam,lr=0.0001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.788 0.805 0.778,0.801 0.8 0.781,,,,
b5954718f3,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.65 0.64 0.648,0.728 0.722 0.721,0.7229184091268359,0.662259033445555,0.5067040451452356,0.44649920548107186
b657e0f995,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.047 0.051 0.059,0.38 0.337 0.418,,,,
b6d2e004fb,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.714 0.692 0.703,0.743 0.723 0.728,0.6986973977065201,0.6689337256044554,0.5086480487729914,0.4671309768886102
b809ba47ee,cifar10,resnet34,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.55 0.48 0.534,0.544 0.492 0.631,,,,
b8eb25bdbd,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.575 0.584 0.582,0.605 0.6 0.604,,,,
b92bb0785f,cifar10,xception,drp=0,sgd,lr=0.1,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,2.306 2.306 2.307,2.307 2.307 2.306,,,,
bbce9add0e,cifar10,resnet18,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.462 0.472 0.461,0.495 0.515 0.482,,,,
bedc697d7b,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.088 0.093 0.093,0.688 0.649 0.663,,,,
c3d7339ffa,cifar10,resnet18,drp=0,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.651 0.667 0.662,0.744 0.763 0.724,,,,
c58b981e8c,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.38 0.384 0.388,0.479 0.485 0.486,0.648783136347919,0.5496634725701433,0.4531583237041885,0.48976229794157866
c679875125,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.03,ns=0.6,3,15,True,True,0.455 0.498 0.421,0.536 0.569 0.483,0.6117880917952143,0.5450799071688776,0.4751246068302241,0.4823837062648748
c67a25352a,cifar10,xception,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,2.306 2.307 2.306,2.308 2.306 2.307,,,,
c915be57a7,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.495 0.493 0.446,0.525 0.528 0.482,0.5843362296604304,0.5551531915311483,0.48521375130997035,0.4816632871366563
c9ae4508bd,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.6,3,15,True,True,0.368 0.371 0.367,0.462 0.456 0.454,0.6368469556607856,0.5423731954138666,0.4583674903729433,0.4834938512559586
cee48f08cb,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.568 0.566 0.552,0.654 0.644 0.64,0.7048427091584737,0.632444859098166,0.45172696971828397,0.44629676088296955
cf1760d56c,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.0,3,15,True,True,0.518 0.514 0.534,0.627 0.629 0.629,0.7158335199279463,0.6306775465550054,0.458759131895492,0.45000098493040286
d029f30bc8,cifar10,resnet34,drp=0.3,sgd,lr=0.01,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.321 0.284 0.429,0.555 0.595 0.63,,,,
d0c02d2033,cifar10,resnet34,drp=0,adam,lr=0.001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.108 0.123 0.104,0.473 0.488 0.463,,,,
d1d0871793,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.559 0.57 0.569,0.662 0.666 0.666,0.7119183270724732,0.6300160490561916,0.4636974367855787,0.4387244970370161
d9f6fd94e5,cifar10,xception,drp=0.3,adam,lr=0.0001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.862 0.865 0.887,0.858 0.863 0.882,,,,
da7cadaf07,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.059 0.055 0.061,0.345 0.334 0.328,,,,
db40b40c78,cifar10,resnet18,drp=0,sgd,lr=0.01,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.664 0.675 0.666,0.673 0.694 0.684,,,,
dba2a7adc2,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.096 0.101 0.093,0.462 0.484 0.486,,,,
dc9855f86b,cifar10,resnet34,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.933 0.544 0.523,0.929 0.547 0.542,,,,
dff6356e95,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.689 0.668 0.687,0.719 0.711 0.723,0.6998149425146052,0.6729297259982866,0.5058732230199501,0.45815332990727026
e059eda659,cifar10,resnet18,drp=0.3,sgd,lr=0.01,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.731 0.698 0.713,0.741 0.708 0.721,,,,
e0c8ffa72e,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.6,3,15,True,True,0.423 0.425 0.423,0.508 0.501 0.506,0.6297272055860264,0.5470115043279938,0.465292344913855,0.47026736744056374
e286e9e9ff,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.287 0.289 0.297,0.351 0.353 0.356,,,,
e3316c4672,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.03,ns=0.6,3,15,True,True,0.43 0.422 0.463,0.476 0.464 0.486,0.5764188200592777,0.5457751250458694,0.48689095566476925,0.49354664270438386
e609784d06,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.07,ns=0.6,3,15,True,True,0.769 0.551 0.606,0.783 0.629 0.657,0.6696719803662138,0.6202873464141937,0.5006549565994491,0.4716553260237045
e64f0575f2,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.407 0.417 0.417,0.493 0.496 0.502,0.6398585416361444,0.553120463042799,0.4559691224648431,0.4873008703864921
e785a9224f,cifar10,resnet18,drp=0,sgd,lr=0.1,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.954 0.947 0.946,0.985 0.973 0.982,,,,
e82b85a604,cifar10,resnet34,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.589 0.593 0.588,0.6 0.615 0.606,,,,
e8d0f503e4,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.511 0.517 0.511,0.629 0.627 0.62,0.7243961191902677,0.6296362602582177,0.4441674984043106,0.43745793054469373
e99dd5f622,cifar10,resnet34,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,1.252 0.873 1.029,1.202 0.875 1.0,,,,
ea34a64110,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.68 0.689 0.684,0.757 0.769 0.756,0.7146208586371656,0.6551281118619761,0.5223103373730857,0.4555306212426504
eac14c45b1,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.334 0.344 0.334,0.403 0.396 0.397,,,,
eba6db7f8f,cifar10,resnet18,drp=0,adam,lr=0.0001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.088 0.085 0.084,0.658 0.65 0.66,,,,
ebe59f7d35,cifar10,resnet34,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.614 0.618 0.636,0.636 0.644 0.64,,,,
ecd0c5320f,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.07,ns=0.0,3,15,True,True,0.63 0.615 0.947,0.68 0.676 0.923,0.6832145256750604,0.6206687311630502,0.5059211080655854,0.47770575914325597
ef9acb5be7,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,1.075 0.922 0.895,1.132 1.015 1.004,,,,
f0cfa57921,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.0,3,15,True,True,0.605 0.605 0.606,0.69 0.686 0.687,0.6976856615776269,0.6243872874468934,0.4763645961460362,0.4541555092373416
f3958f20d6,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,1.074 0.984 0.917,1.06 0.99 0.952,0.6875869619805481,0.6512171175950486,0.5560512007073386,0.49317419982316535
f41ffb81b4,cifar10,resnet34,drp=0,sgd,lr=0.01,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.691 0.7 0.711,0.715 0.701 0.73,,,,
f817c30082,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.049 0.053 0.048,0.307 0.304 0.308,,,,
f8cd9cefdb,cifar10,resnet34,drp=0.3,adam,lr=0.001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.095 0.137 0.114,0.357 0.399 0.377,,,,
f92680ed86,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.6,3,15,True,True,0.484 0.48 0.496,0.59 0.588 0.587,0.7033512016733355,0.6223055411488569,0.46334366438021685,0.4528803020621761
f94f351457,cifar10,resnet34,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.52 0.854 0.544,0.531 0.817 0.529,,,,
fb4d4b9807,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.0,3,15,True,True,0.766 0.761 0.764,0.867 0.846 0.846,0.7282149914027997,0.6603445484318965,0.4862490064676519,0.45626972753976447
ffaec041d9,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.07,ns=0.6,3,15,True,True,0.569 0.6 0.603,0.644 0.692 0.64,0.6781100111123406,0.6253097655307971,0.4897554697151254,0.46832331822985696
